decade,genre,movie_count
2020,Family,3435
2020,Fantasy,3296
2020,Game-Show,2
2020,History,2576
2020,Horror,10978
2020,Music,3318
2020,Musical,1162
2020,Mystery,4197
2020,News,83
2020,Reality-TV,211
2020,Romance,7294
2020,Sci-Fi,3215
2020,Sport,2158
2020,Talk-Show,98
2020,Thriller,11811
2020,War,860
2020,Western,407
