decade,movie_count,avg_votes,max_votes
1900.0,106,46.92,1084.0
1910.0,2012,143.64,28475.0
1920.0,3957,592.69,202647.0
1930.0,8990,816.93,471531.0
1940.0,8888,1294.94,659485.0
1950.0,12855,1465.19,998708.0
1960.0,17127,1494.17,898128.0
1970.0,22732,1893.81,2248906.0
1980.0,25128,3203.09,1519361.0
1990.0,26102,6630.45,3226746.0
2000.0,47245,7126.29,3214202.0
2010.0,94821,4509.75,2857890.0
2020.0,67702,2419.94,1087844.0
