decade,genre1,genre2,movie_count,combination
1920,Action,Crime,107,Action + Crime
1920,Action,Documentary,1,Action + Documentary
1920,Action,Drama,444,Action + Drama
1920,Action,Family,5,Action + Family
1920,Action,Fantasy,4,Action + Fantasy
1920,Action,History,12,Action + History
1920,Action,Horror,2,Action + Horror
1920,Action,Musical,1,Action + Musical
1920,Action,Mystery,21,Action + Mystery
1920,Action,Romance,109,Action + Romance
1920,Action,Sci-Fi,3,Action + Sci-Fi
1920,Action,Sport,9,Action + Sport
1920,Action,Thriller,10,Action + Thriller
1920,Action,War,6,Action + War
1920,Action,Western,35,Action + Western
1920,Adventure,Animation,2,Adventure + Animation
1920,Adventure,Biography,1,Adventure + Biography
1920,Adventure,Comedy,82,Adventure + Comedy
1920,Adventure,Crime,96,Adventure + Crime
1920,Adventure,Documentary,9,Adventure + Documentary
1920,Adventure,Drama,365,Adventure + Drama
1920,Adventure,Family,11,Adventure + Family
1920,Adventure,Fantasy,21,Adventure + Fantasy
1920,Adventure,History,22,Adventure + History
1920,Adventure,Horror,4,Adventure + Horror
1920,Adventure,Music,1,Adventure + Music
1920,Adventure,Mystery,19,Adventure + Mystery
1920,Adventure,Romance,125,Adventure + Romance
1920,Adventure,Sci-Fi,5,Adventure + Sci-Fi
1920,Adventure,Sport,1,Adventure + Sport
1920,Adventure,Thriller,9,Adventure + Thriller
1920,Adventure,War,7,Adventure + War
1920,Adventure,Western,16,Adventure + Western
1920,Animation,Comedy,4,Animation + Comedy
1920,Animation,Documentary,2,Animation + Documentary
1920,Animation,Drama,1,Animation + Drama
1920,Animation,Fantasy,2,Animation + Fantasy
1920,Animation,History,2,Animation + History
1920,Animation,Sci-Fi,1,Animation + Sci-Fi
1920,Biography,Comedy,3,Biography + Comedy
1920,Biography,Crime,4,Biography + Crime
1920,Biography,Documentary,2,Biography + Documentary
1920,Biography,Drama,62,Biography + Drama
1920,Biography,Family,1,Biography + Family
1920,Biography,History,54,Biography + History
1920,Biography,Music,1,Biography + Music
1920,Biography,Romance,5,Biography + Romance
1920,Biography,War,4,Biography + War
1920,Comedy,Crime,60,Comedy + Crime
1920,Comedy,Documentary,6,Comedy + Documentary
1920,Comedy,Drama,559,Comedy + Drama
1920,Comedy,Family,19,Comedy + Family
1920,Comedy,Fantasy,17,Comedy + Fantasy
1920,Comedy,History,4,Comedy + History
1920,Comedy,Horror,10,Comedy + Horror
1920,Comedy,Music,16,Comedy + Music
1920,Comedy,Musical,33,Comedy + Musical
1920,Comedy,Mystery,28,Comedy + Mystery
1920,Comedy,Romance,459,Comedy + Romance
1920,Comedy,Sci-Fi,4,Comedy + Sci-Fi
1920,Comedy,Sport,33,Comedy + Sport
1920,Comedy,Thriller,8,Comedy + Thriller
1920,Comedy,War,19,Comedy + War
1920,Comedy,Western,92,Comedy + Western
1920,Crime,Drama,547,Crime + Drama
1920,Crime,Family,1,Crime + Family
1920,Crime,Fantasy,3,Crime + Fantasy
1920,Crime,Film-Noir,4,Crime + Film-Noir
1920,Crime,History,2,Crime + History
1920,Crime,Horror,15,Crime + Horror
1920,Crime,Music,3,Crime + Music
1920,Crime,Musical,1,Crime + Musical
1920,Crime,Mystery,82,Crime + Mystery
1920,Crime,Romance,74,Crime + Romance
