genre1,genre2,movie_count
Game-Show,Sport,1
Adult,Reality-TV,1
Drama,Game-Show,1
Crime,Talk-Show,1
Adult,Family,1
Adult,Game-Show,1
Reality-TV,War,1
History,Talk-Show,1
Comedy,Game-Show,1
Horror,News,1
Reality-TV,Sci-Fi,1
Fantasy,Reality-TV,1
Musical,News,1
Fantasy,Game-Show,1
